feature,importance,std
ca,0.07629870129870131,0.021443870527873565
cp,0.040909090909090895,0.02162092814897122
thal,0.013690476190476187,0.02328732996071227
oldpeak,0.01331168831168832,0.011055924492746423
exang,0.012878787878787901,0.009959650422193513
sex,0.011796536796536783,0.010029962981902747
thalach,0.007792207792207817,0.009713768689314659
age,0.003625541125541121,0.007938331975882729
restecg,0.0009740259740259938,0.007194324612389729
trestbps,0.00032467532467531644,0.00239810820412991
fbs,0.00010822510822506848,0.002681712487741093
chol,-0.005032467532467522,0.004846322279774323
slope,-0.013961038961038962,0.018559580575711904
